idx,pred,true
1,0.7938658,0.8636364
5,0.59931874,0.84090906
9,0.6617482,0.8181818
10,0.74476826,0.81666666
14,0.71849895,0.8019802
15,0.80924225,0.8
16,0.5242544,0.8
18,0.6304221,0.7878788
30,0.70242155,0.7659575
31,0.68138623,0.764977
39,0.6251277,0.75384617
43,0.64931476,0.75
48,0.75339454,0.7419355
50,0.6574445,0.7413793
54,0.6146767,0.73913044
62,0.68581223,0.7352941
64,0.68211055,0.734375
69,0.72301173,0.7329193
82,0.64516973,0.72649574
89,0.64394635,0.7234042
99,0.61965203,0.7160494
108,0.5791607,0.71428573
109,0.66505665,0.71304345
115,0.6524942,0.7083333
122,0.6884005,0.70454544
130,0.69328177,0.70186335
135,0.73526585,0.6985294
136,0.6644984,0.6979167
143,0.6233337,0.69503546
145,0.7117715,0.6946565
147,0.81251824,0.6944444
155,0.64229846,0.6927711
156,0.5022942,0.6923077
161,0.6812681,0.6918919
163,0.6947523,0.69154227
184,0.51249695,0.6857143
185,0.56623375,0.6857143
187,0.5476109,0.6853933
188,0.6757082,0.6851852
190,0.6289583,0.6851852
192,0.5997572,0.68503934
194,0.6529058,0.68442625
195,0.6824914,0.6844156
198,0.6461351,0.68372095
199,0.57951534,0.68372095
200,0.67666256,0.6835443
208,0.65414476,0.6825397
209,0.64664507,0.6825397
210,0.73903215,0.6825397
213,0.5753038,0.682243
218,0.6502558,0.68164796
224,0.5000994,0.68
225,0.62862074,0.67967147
230,0.6262609,0.6792453
236,0.59462017,0.6785714
252,0.6057732,0.6751592
254,0.59629506,0.6741573
261,0.66950107,0.6733129
264,0.6010469,0.6721311
268,0.659691,0.6712963
271,0.6679126,0.67070216
276,0.6371397,0.6687598
302,0.6737672,0.6666667
308,0.6185912,0.6666667
309,0.467499,0.6666667
313,0.68172014,0.66527194
314,0.6765168,0.665
316,0.6114143,0.6648501
326,0.70930696,0.6633663
327,0.6262276,0.6632124
331,0.61380625,0.6617647
332,0.67936885,0.6614173
349,0.70369357,0.65882355
353,0.67329943,0.6586022
361,0.51925194,0.65745854
366,0.6385952,0.6567164
367,0.6068661,0.65656567
370,0.6583897,0.65591395
371,0.6698801,0.6557377
373,0.7139479,0.65555555
375,0.6142873,0.6554054
380,0.73594344,0.65486723
388,0.53217757,0.65384614
393,0.6719982,0.6528239
398,0.6856745,0.65217394
401,0.6811314,0.65189874
402,0.65608,0.65171504
421,0.59401834,0.65
424,0.69280195,0.65
426,0.5843047,0.6498801
433,0.65973663,0.64912283
434,0.4339371,0.64912283
437,0.6387228,0.6481481
447,0.60687804,0.6459627
455,0.5904138,0.6451613
457,0.4851014,0.6451613
461,0.6503048,0.6447368
472,0.64185464,0.6442953
475,0.6191473,0.6442308
477,0.6077006,0.6440678
480,0.60633814,0.6438356
485,0.52196014,0.64343166
487,0.6397729,0.64285713
490,0.5228212,0.64285713
492,0.62802005,0.64285713
493,0.5106163,0.64285713
503,0.6274806,0.6421053
529,0.6260439,0.6394628
535,0.62053144,0.6389158
541,0.6991018,0.63829786
543,0.6929017,0.63829786
552,0.6058376,0.6377709
554,0.6081494,0.6371398
558,0.45702377,0.6363636
563,0.62147605,0.63624513
564,0.643258,0.6362007
569,0.60203993,0.63555557
581,0.6212208,0.63414633
592,0.57241917,0.6333333
594,0.58158815,0.6333333
596,0.6338644,0.6333333
602,0.62921524,0.6329114
609,0.6303046,0.6318681
612,0.64227986,0.6315789
613,0.5986241,0.6315789
614,0.45366514,0.6315789
622,0.62201214,0.6308017
630,0.47839466,0.6304348
634,0.5561811,0.63013697
637,0.59558845,0.6296296
649,0.6460286,0.62857145
657,0.6440606,0.627451
664,0.5859325,0.6268116
665,0.5970484,0.6267806
666,0.6075839,0.62674093
667,0.5951891,0.62666667
671,0.43265232,0.62650603
672,0.63550365,0.62647057
683,0.5954299,0.625
694,0.5453671,0.625
698,0.49030346,0.62488306
702,0.5178588,0.62406015
703,0.54421526,0.62393165
704,0.53054607,0.62352943
709,0.58916056,0.6233383
710,0.67690563,0.6231884
712,0.5898298,0.6229508
714,0.66542554,0.6227147
715,0.5419155,0.6226415
716,0.6529467,0.62249
726,0.5831078,0.6217949
729,0.52635324,0.6216216
737,0.4412611,0.62068963
744,0.63201773,0.62
745,0.66693425,0.6198347
747,0.6228918,0.61967546
750,0.6239704,0.61945945
754,0.6402588,0.6188119
756,0.4522468,0.61870503
759,0.6287638,0.6183369
760,0.6784537,0.6180556
763,0.6076169,0.6177924
766,0.5335679,0.61764705
775,0.5848012,0.61694914
779,0.58695465,0.6168224
788,0.57217777,0.61546445
791,0.48907474,0.61538464
797,0.7255486,0.61538464
801,0.47058383,0.61538464
802,0.56928647,0.6152174
805,0.4986514,0.61490685
811,0.5446694,0.6142857
817,0.59468436,0.6136364
826,0.45906544,0.61290324
829,0.56548977,0.61283183
830,0.59632766,0.6127451
832,0.5987345,0.6122449
835,0.61028993,0.6121212
841,0.6067592,0.6115108
843,0.44659102,0.6111111
845,0.62040687,0.6111111
846,0.5602503,0.6111111
851,0.5429325,0.6107383
853,0.6444857,0.610687
855,0.59710574,0.6105263
859,0.63343585,0.6101695
861,0.5030811,0.61
